Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250750705000391,18,48,52,32,7,8,5,1,0,0,0,0,0,17,26,7,5,0,0,18,16,15,9,9,7,10,11,6,2,0,0,0,7,5,0,0,0,0,226,115,0.33724340175953077,0.6627565982404692
250750705000392,16,34,45,12,6,7,10,1,0,0,0,0,0,15,9,13,0,0,0,30,20,28,8,7,6,4,20,8,4,0,0,0,10,3,3,0,0,0,168,151,0.47335423197492166,0.5266457680250783
250750705000393,27,36,42,29,11,5,7,0,0,0,0,0,0,27,18,8,1,0,0,21,36,30,8,9,7,10,14,8,3,0,1,0,7,9,3,0,0,0,211,166,0.4403183023872679,0.5596816976127321
250750705000394,20,31,52,22,8,3,8,2,1,0,0,0,0,18,18,13,3,0,0,27,37,28,17,1,4,16,15,14,5,0,0,0,12,6,2,1,0,0,199,185,0.4817708333333333,0.5182291666666666
250750705000395,30,45,41,21,6,10,5,2,2,1,0,0,0,28,22,4,2,0,1,41,26,31,13,3,2,8,24,11,3,3,0,0,17,5,2,0,0,0,220,189,0.4621026894865526,0.5378973105134475
250750705000396,20,31,20,12,6,2,4,2,1,0,0,0,0,18,11,5,1,1,0,47,70,57,27,11,4,12,34,26,18,2,1,0,13,12,2,2,0,0,134,338,0.7161016949152542,0.2838983050847458
250750705000397,19,41,41,30,9,2,10,2,0,0,0,0,0,17,18,6,7,1,0,30,31,28,17,6,7,13,15,13,5,0,0,0,15,4,2,0,0,0,203,186,0.4781491002570694,0.5218508997429306
250750705000398,24,45,45,19,4,9,7,1,0,0,0,0,0,23,17,14,3,0,0,23,25,20,10,4,9,6,16,7,0,1,0,0,7,6,1,1,0,0,211,136,0.3919308357348703,0.6080691642651297
250750705000399,23,32,53,29,6,9,10,3,0,0,0,0,0,20,17,12,4,0,0,28,35,19,11,4,6,11,10,10,3,3,0,0,18,9,2,0,0,1,218,170,0.4381443298969072,0.5618556701030928
250750705000400,20,29,43,25,4,10,11,4,0,0,0,0,0,16,20,11,4,0,0,45,46,46,24,12,3,14,30,15,5,4,1,0,15,2,0,0,0,0,197,262,0.5708061002178649,0.42919389978213507
250750705000401,25,49,39,19,5,5,2,3,0,0,0,0,0,22,21,8,3,0,0,37,32,39,12,6,4,14,24,9,9,0,0,0,13,5,2,1,1,0,201,208,0.508557457212714,0.49144254278728605
250750705000402,20,43,62,29,9,8,4,1,0,0,0,0,0,19,21,13,4,0,0,11,26,15,5,6,7,5,5,7,4,0,1,0,6,5,0,0,0,0,233,103,0.30654761904761907,0.6934523809523809
250750705000403,19,58,50,27,7,8,5,0,0,1,0,0,0,19,28,9,3,1,0,49,41,23,13,8,6,7,34,7,8,1,0,0,15,5,0,1,0,0,235,218,0.48123620309050774,0.5187637969094923
250750705000404,24,60,61,25,13,5,8,3,1,0,0,0,0,21,31,18,4,2,0,26,25,16,9,12,7,12,17,6,2,1,0,0,9,4,2,0,0,0,276,148,0.3490566037735849,0.6509433962264151
250750705000405,23,41,27,29,4,1,4,0,1,0,0,0,0,23,23,7,5,1,0,21,17,19,10,2,1,5,10,5,5,1,0,0,11,2,0,0,0,0,189,109,0.36577181208053694,0.6342281879194631
250750705000406,53,74,59,33,5,9,6,2,0,0,0,0,0,51,36,9,4,0,0,35,34,21,8,5,2,10,20,11,4,1,0,0,15,5,3,0,0,0,341,174,0.3378640776699029,0.6621359223300971
250750705000407,21,21,34,13,8,1,8,1,0,0,0,0,0,20,9,12,1,1,0,20,24,9,5,1,0,12,15,6,0,0,0,0,5,5,0,0,0,0,150,102,0.40476190476190477,0.5952380952380952
250750705000408,39,54,40,25,13,10,17,4,0,0,0,0,0,35,27,9,3,1,0,41,29,17,15,6,7,14,30,10,2,0,0,0,11,6,1,1,0,0,277,190,0.4068522483940043,0.5931477516059958
250750705000409,33,59,44,20,12,19,19,0,0,0,0,0,0,33,25,10,2,0,0,31,31,21,10,3,9,10,25,9,3,0,0,0,6,4,1,0,0,0,276,163,0.3712984054669704,0.6287015945330297
250750705000410,23,44,41,27,12,7,10,0,1,0,0,0,0,23,15,11,0,0,0,28,27,17,17,4,11,9,19,10,4,2,0,0,9,1,2,0,0,1,214,161,0.42933333333333334,0.5706666666666667
250750705000411,26,46,33,13,9,6,9,3,1,2,0,0,0,23,21,9,1,0,0,12,8,8,6,0,8,11,4,3,1,0,0,0,8,3,2,0,0,0,202,74,0.26811594202898553,0.7318840579710145
250750705000412,31,34,35,23,8,7,12,2,0,0,0,0,0,29,16,3,3,1,0,33,43,39,19,12,14,7,29,17,11,1,0,0,4,6,0,0,1,0,204,236,0.5363636363636364,0.4636363636363636
250750705000413,17,38,31,11,6,5,4,1,1,0,0,0,0,16,14,8,3,0,0,11,17,14,7,1,3,5,2,5,4,0,0,0,9,3,0,0,0,0,155,81,0.3432203389830508,0.6567796610169492
